asset_id|filepath|filename|transcription|duration_sec|language|language_probability|avg_logprob|slate_text|model|device|compute_type|transcribed_at_utc|status|error
5DMKII-20221027-0004|E:\Orange Crush\Original_Footage\5dmkii\20221027\OC_2022_10_27_0004.MOV|OC_2022_10_27_0004.MOV|Thelma rolling. Mark it. 1.53, Take 1. Action. Did you read this? What? Billy's mail. Did you read it? Amy, he's not a kid. You should stop doing this. He passed. I think he had it in him. Cut. Nice. Was that the right line? He passed? Yeah. Okay. That was nice of hearing a little subtle smile.|51.13|en|0.995|-0.194|Thelma rolling. Mark it. 1.53, Take 1. Action. Did you read this? What? Billy's mail. Did you read it? Amy, he's not a kid. You should stop doing this. He passed. I think he had it in him. Cut. Nice. Was that the right line? He passed? Yeah. Okay. That was nice of hearing a little subtle smile.|large-v3-turbo|cuda|float16|2026-09-20T22:44:45Z|ok|
5DMKII-20221027-0007|E:\Orange Crush\Original_Footage\5dmkii\20221027\OC_2022_10_27_0007.MOV|OC_2022_10_27_0007.MOV|Film, Raleigh. Mark it. 158, Take 4. Take 1. Action.|36.04|en|0.995|-0.411|Film, Raleigh. Mark it. 158, Take 4. Take 1. Action.|large-v3-turbo|cuda|float16|2026-09-20T22:44:47Z|ok|
5DMKII-20221027-0009|E:\Orange Crush\Original_Footage\5dmkii\20221027\OC_2022_10_27_0009.MOV|OC_2022_10_27_0009.MOV|Phone rolling. Mark it. 121, Take 1. Action. You took your time. You know, Lori and Candy stopped me for speeding. Were you speeding? Yes, but she stopped me. Well, maybe if you would slow down once in a while, she wouldn't have to stop you. She's Lori's niece, for Christ's sake. She gave me a warning. You're lucky she knows you. I would have given you a ticket. She saw Billy today over at the office. More trouble, I suspect. I don't know what they're doing over there. Uh, these are not lime and salt. You don't want them? I want lime and salt. Okay, I gotta go.|56.10|en|0.997|-0.228|Phone rolling. Mark it. 121, Take 1. Action. You took your time. You know, Lori and Candy stopped me for speeding. Were you speeding? Yes, but she stopped me. Well, maybe if you would slow down once in a while, she wouldn't have to stop you. She's Lori's niece, for Christ's sake. She gave me a warning. You're lucky she knows you. I would have given you a ticket. She saw Billy today over at the office. More trouble, I suspect.|large-v3-turbo|cuda|float16|2026-09-20T22:44:50Z|ok|
5DMKII-20221027-0010|E:\Orange Crush\Original_Footage\5dmkii\20221027\OC_2022_10_27_0010.MOV|OC_2022_10_27_0010.MOV|1-21, Take 2. Action. You took long enough. You know, Lorraine Candy just stopped me for speeding. Were you speeding? Yes, but she stopped me. Well, maybe if you would stop speeding, she wouldn't have to stop you. She's Flory's niece, for Christ's sake. She gave me a warning. Well, you're lucky she knows you. I would have given you a ticket. She saw Billy today at the office. More trouble, I suspect. Well, that's not surprising. Nobody knows what they're doing around there. I want lime and salt. You don't want them. I want lime and salt. Okay. Cut.|57.72|en|0.998|-0.240|1-21, Take 2. Action. You took long enough. You know, Lorraine Candy just stopped me for speeding. Were you speeding? Yes, but she stopped me. Well, maybe if you would stop speeding, she wouldn't have to stop you. She's Flory's niece, for Christ's sake. She gave me a warning. Well, you're lucky she knows you. I would have given you a ticket. She saw Billy today at the office. More trouble, I suspect. Well, that's not surprising. Nobody knows what they're doing around there.|large-v3-turbo|cuda|float16|2026-09-20T22:44:54Z|ok|
5DMKII-20221027-0001|E:\Orange Crush\Original_Footage\5dmkii\20221027\OC_2022_10_27_0001.MOV|OC_2022_10_27_0001.MOV|1-37, Take 1. Action. Go. Okay.|53.97|en|0.999|-0.610|1-37, Take 1. Action. Go. Okay.|large-v3-turbo|cuda|float16|2026-09-20T22:44:57Z|ok|
5DMKII-20221027-0002|E:\Orange Crush\Original_Footage\5dmkii\20221027\OC_2022_10_27_0002.MOV|OC_2022_10_27_0002.MOV|Mark it. Scene 137, Take 2. Action.|39.87|en|1.000|-0.297|Mark it. Scene 137, Take 2. Action.|large-v3-turbo|cuda|float16|2026-09-20T22:44:59Z|ok|
5DMKII-20221027-0003|E:\Orange Crush\Original_Footage\5dmkii\20221027\OC_2022_10_27_0003.MOV|OC_2022_10_27_0003.MOV|Camera rolling. Mark it. Scene 138, Take 1. Action. Nice elephant. First grade. I had to sneak into your room so that I could wash Bunny without waking, without waking, I'm sorry. Keep going. Start out with what you were in the first. You were in the first grade. I had to sneak into your room so I could wash Bunny without waking you up. I could vomit. It's gross. Somewhere, restaurant, Los Angeles, right in your room. And Dave got you that firefighter's costume and that was the last we heard of Bunny. Carnival. Good shot. You got yourself a sweetheart? No, Mom. I'm just asking. Girls have always been a touchy subject with you. You know Amita Verma? What? Flora says that she's been missing. Parents have been going through hell. It doesn't look good. They haven't given up on her. Did I say that? You kinda did. You're being an ass. No, I'm optimistic and you will have her already dead and buried. Well, I'm just saying this is how these things usually go. Can you both stop with the elephant? Really? By himself? I think there was a girl involved. And he has the elephant? This must be some special girl. Dave, shut up.|178.93|en|0.979|-0.207|Camera rolling. Mark it. Scene 138, Take 1. Action.|large-v3-turbo|cuda|float16|2026-09-20T22:45:09Z|ok|
5DMKII-20221027-0008|E:\Orange Crush\Original_Footage\5dmkii\20221027\OC_2022_10_27_0008.MOV|OC_2022_10_27_0008.MOV|Film rolling. Mark it. 120, Take 3. Action. Cut.|23.15|en|1.000|-0.376|Film rolling. Mark it. 120, Take 3. Action. Cut.|large-v3-turbo|cuda|float16|2026-09-20T22:45:11Z|ok|
5DMKII-20221027-0011|E:\Orange Crush\Original_Footage\5dmkii\20221027\OC_2022_10_27_0011.MOV|OC_2022_10_27_0011.MOV|Camera rolling. Mark it. 121, Take 3. Action. You took long enough. You know, Lorraine Candy just stopped me for speeding. Were you speeding? Yes, but she stopped me. Well, maybe if you would slow down once in a while, she wouldn't have to stop you. She saw Billy again today with the office. More trouble, I suspect. No, I gotta fuck you. Just keep going. Okay. Alright. You took long enough. You know, Lorraine Candy just stopped me for speeding. Were you speeding? Yes, but she stopped me. Well, maybe if you would slow down once in a while, she wouldn't have to stop you. She's Florrie's niece, for Christ's sake. She gave me a warning. Well, you're lucky she knows you. I would have given you a ticket. She said she saw Billy today over at the office. Trouble again, I suspect. No, that's not surprising. Nobody knows what they're doing around there. These aren't lime and salt. You don't want them? I want lime and salt. Okay. I gotta go.|88.05|en|0.999|-0.262|Camera rolling. Mark it. 121, Take 3. Action. You took long enough. You know, Lorraine Candy just stopped me for speeding. Were you speeding? Yes, but she stopped me. Well, maybe if you would slow down once in a while, she wouldn't have to stop you. She saw Billy again today with the office. More trouble, I suspect. No, I gotta fuck you. Just keep going. Okay. Alright. You took long enough. You know, Lorraine Candy just stopped me for speeding.|large-v3-turbo|cuda|float16|2026-09-20T22:45:16Z|ok|
5DMKII-20221027-0012|E:\Orange Crush\Original_Footage\5dmkii\20221027\OC_2022_10_27_0012.MOV|OC_2022_10_27_0012.MOV|Mark it. Scene 32, Take 1. Action. What should we pay for it? I hope you don't like it, huh? I think you don't have to put it on your fist. It's going to be a silly mark. Hey, the doctor, your medication or mine? We don't do it. We even taste like good ones. Every now and then. So, you have to open the beer again. I'll take the one there. I'll take the one there. I'll take the one there. Thirsty, damn it. Yeah. Just keep lying there. This is a musical. That seems to be what everybody's done. It's like, it's sad. I swear to god. Is anyone creating anything original on Broadway anymore? Nope. Oh, Treasure Island.|108.57|en|0.995|-0.436|Mark it. Scene 32, Take 1. Action. What should we pay for it?|large-v3-turbo|cuda|float16|2026-09-20T22:45:22Z|ok|
